product_code,part_type,socket,chipset,mem_type,tdp_watt,rated_watt,length_mm,gpu_max_mm,cooler_tdp,height_mm,capacity_gb,gpu_chipset,vram_gb,required_power_watt,pcie_gen,form_factor,interface,tag_white,tag_rgb,tag_silent
126780,POWER,,,,,1000,,,,,,,,,,,,false,false,false
100020,CABLE,,,,,,,,,,,,,,,,,false,false,false
103758,CASE,,,,,,,,,,,,,,,,,false,false,false
103754,COOLER_CPU_AIO,LGA1200,,,,,,,,,,,,,,,,false,false,false
103753,COOLER_CPU_AIO,LGA1200,,,,,,,,,,,,,,,,false,false,false
103752,COOLER_CPU_AIO,LGA1200,,,,,,,,,,,,,,,,false,false,false
101950,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
101246,ASSEMBLY_SERVICE,AM4,,DDR4,,,,,,,,RX580,,,,M-ATX,M.2,false,false,false
101255,ASSEMBLY_SERVICE,AM4,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
101254,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
96964,ASSEMBLY_SERVICE,LGA1151,,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
99509,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
100099,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
103726,ASSEMBLY_SERVICE,,B360,,,,,,,,,,,,,,,false,false,false
102560,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
100575,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
67158,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
92738,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
102561,ASSEMBLY_SERVICE,LGA1151v2,H370,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
97419,ASSEMBLY_SERVICE,LGA1151,,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
99710,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
99711,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
100097,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
102559,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
102558,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
102565,ASSEMBLY_SERVICE,LGA1151v2,H370,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
77542,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,,false,false,false
101786,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
77276,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
100221,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
84966,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
86286,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
95850,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,Mini-ITX,,false,false,false
93782,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,,false,false,false
101262,ASSEMBLY_SERVICE,AM4,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
90288,ASSEMBLY_SERVICE,LGA2011,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
88903,ASSEMBLY_SERVICE,LGA2011,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
96151,ASSEMBLY_SERVICE,LGA1151,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
84974,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
67168,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
96419,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,Mini-ITX,,false,false,false
85564,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
85563,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
86280,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
84991,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
96147,ASSEMBLY_SERVICE,LGA1151,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
100624,INTERNAL,LGA1151,,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
101256,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
103329,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,,M.2,false,false,false
102545,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
102544,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
105843,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
104235,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
104236,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,,,,,,,M.2,false,false,false
107891,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
107888,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
107789,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
102543,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,,,false,false,false
104271,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
108266,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
105762,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
104272,ASSEMBLY_SERVICE,LGA1151v2,H310,DDR4,,,,,,,,,,,,M-ATX,,false,false,false
102832,ASSEMBLY_SERVICE,LGA1151v2,H370,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
102547,ASSEMBLY_SERVICE,LGA1151v2,H370,DDR4,,,,,,,,,,,,,M.2,false,false,false
107875,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
101261,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
104308,ASSEMBLY_SERVICE,AM4,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
100637,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
104274,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
104273,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,64,,64,,,M-ATX,M.2,false,false,false
107684,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
107941,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
107690,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
88941,ASSEMBLY_SERVICE,LGA2011,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
104190,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
107927,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
102858,ASSEMBLY_SERVICE,LGA2066,,DDR4,,,,,,,,,,,,E-ATX,M.2,false,false,false
103330,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
105835,ASSEMBLY_SERVICE,LGA1151v2,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
107953,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
107933,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,,,false,false,false
101601,ASSEMBLY_SERVICE,,,,,,,,,,11,GTX1080,11,,,,,false,false,false
106590,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
91925,ASSEMBLY_SERVICE,,,,,,,,,,2,GTX960,2,,,,,false,false,false
102546,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
103631,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
103334,ASSEMBLY_SERVICE,LGA1151v2,B360,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
107601,ASSEMBLY_SERVICE,LGA1200,H310,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
103336,ASSEMBLY_SERVICE,LGA1151v2,H310,,,,,,,,,,,,,M-ATX,M.2,false,false,false
102548,ASSEMBLY_SERVICE,LGA1151v2,H370,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
89979,ASSEMBLY_SERVICE,LGA2011,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
88938,ASSEMBLY_SERVICE,LGA2011,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
93240,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
84993,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
85523,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
96079,ASSEMBLY_SERVICE,LGA1150,,DDR3,,,,,,,,,,,,ATX,M.2,false,false,false
86314,ASSEMBLY_SERVICE,,,,,,,,,,2,GT740,2,,,,,false,false,false
82543,ASSEMBLY_SERVICE,,,,,,,,,,2,GTX750,2,,,,,false,false,false
84104,ASSEMBLY_SERVICE,,,,,,,,,,2,GTX750,2,,,,,false,false,false
107784,ASSEMBLY_SERVICE,LGA1200,,DDR4,,,,,,,,,,,,ATX,M.2,false,false,false
86265,COOLER_CPU_AIO,,,DDR3,,,,,,,16,,16,,,,SATA,false,false,false
89700,COOLER_CPU_AIO,,,DDR3,,,,,,,16,,16,,,,SATA,true,false,false
86267,RAM,,,DDR3,,,,,,,16,,16,,,,SATA,false,false,false
90664,COOLER_CPU_AIO,,,DDR3,,,,,,,4,,4,,,,SATA,true,false,false
86262,COOLER_CPU_AIO,,,DDR3,,,,,,,8,,8,,,,SATA,false,false,false
93569,RAM,,,DDR3,,,,,,,8,,8,,,,SATA,false,false,false
97324,CASE,,,,,,,250,,115,,,,,,M-ATX,,false,false,false
100114,GPU,,,,,,,,,,,,,,,,,false,false,false
100111,GPU,,,,,,,,,,1,GTX750,1,,,,,false,false,false
100112,GPU,,,,,,,,,,2,GTX750,2,,,,,false,false,false
126773,POWER,,,,,650,,,,,,,,,,ATX,SATA,false,false,false
126769,POWER,,,,,650,,,,,,,,,,ATX,SATA,false,false,false
126774,POWER,,,,,650,,,,,,,,,,ATX,SATA,false,false,false
105486,POWER,,,,,,,,,,,,,,,TFX,SATA,false,false,false
105489,POWER,,,,,,,,,,,,,,,TFX,SATA,false,false,false
105490,POWER,,,,,,,,,,,,,,,ATX,,false,false,false
105487,POWER,,,,,,,,,,,,,,,ATX,SATA,false,false,false
126826,POWER,,,,,550,,,,,,,,,,ATX,SATA,false,false,false
105485,POWER,,,,,,,,,,,,,,,ATX,SATA,false,false,false
105492,POWER,,,,,,,,,,,,,,,ATX,SATA,false,false,false
105483,POWER,,,,,,,,,,,,,,,M-ATX,SATA,false,false,false
105482,POWER,,,,,,,,,,,,,,,M-ATX,SATA,false,false,false
105481,POWER,,,,,,,,,,,,,,,M-ATX,SATA,false,false,false
105488,POWER,,,,,,,,,,,,,,,M-ATX,SATA,false,false,false
105493,POWER,,,,,,,,,,,,,,,M-ATX,SATA,false,false,false
105479,POWER,,,,,500,,,,,,,,,,ATX,SATA,false,false,false
105484,POWER,,,,,,,,,,,,,,,ATX,SATA,false,false,false
105494,POWER,,,,,,,,,,,,,,,ATX,SATA,false,false,false
105480,POWER,,,,,600,,,,,,,,,,ATX,SATA,false,false,false
85814,CASE,,,,,,,345,,145,,,,,,ATX,,false,false,false
85815,CASE,,,,,,,345,,145,,,,,,ATX,,true,false,false
60286,CASE,,,,,,,,,,,,,,,ATX,,false,false,false
58546,CASE,,,,,,,,,,,,,,,ATX,,false,false,false
59751,CASE,,,,,,,330,,,,,,,,M-ATX,,true,false,false
94441,CASE,,,,,,,267,,140,,,,,,M-ATX,,true,false,false
94306,CASE,,,,,,,300,,145,,,,,,ATX,,false,false,false
94209,CASE,,,,,,,300,,145,,,,,,ATX,,false,false,false
67281,CASE,,,,,,,,,,,,,,,M-ATX,,false,false,false
95034,MB,LGA1150,,DDR3,,,,,,,,,,,,M-ATX,,false,false,false
91132,HEADSET,,,,,,,,,,,,,,,,,false,false,false
111446,KEYBOARD,,,,,,,,,,,,,,,,,false,false,false
14634,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
100780,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
79047,CASE,,,,,,,320,,160,,,,,,ATX,,false,false,false
66360,CASE,,,,,,,260,,120,,,,,,ATX,,false,false,false
66361,CASE,,,,,,,260,,,,,,,,ATX,,false,false,false
96229,CASE,,,,,,,295,,165,,,,,,ATX,,false,false,false
96228,CASE,,,,,,,325,,165,,,,,,ATX,,true,false,false
97680,CASE,,,,,,,325,,165,,,,,,ATX,,true,false,false
85816,CASE,,,,,,,355,,180,,,,,,ATX,,false,false,false
96095,CASE,,,,,,,400,,163,,,,,,ATX,,false,false,false
96226,CASE,,,,,,,325,,165,,,,,,ATX,,false,false,false
99666,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
99668,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
101047,ACCESSORY,,,,,,,,,,,,,,,,,false,false,false
91040,HEADSET,,,,,,,,,,,,,,,,,false,false,false
98491,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
99308,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
100253,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
100254,ASSEMBLY_SERVICE,,,,,,,,,,,,,,,,,false,false,false
100261,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
99969,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
100132,HEADSET,,,,,,,,,,,,,,,,,true,false,false
100289,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
99674,CABLE,,,,,,,,,,,,,,,,,false,false,false
100826,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
100836,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
100475,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
93699,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
94386,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
111968,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
97821,UNKNOWN,,,,,,,,,,,,,,,,,false,false,false
92980,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
111970,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
111971,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
93719,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
93724,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
93727,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
111969,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
93730,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
101304,HEADSET,,,,,,,,,,,,,,,,,false,true,false
57274,HEADSET,,,,,,,,,,,,,,,,,false,false,false
109997,HEADSET,,,,,,,,,,,,,,,,,true,false,false
110002,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
52658,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
125926,MONITOR,,,,,,,,,,,,,,,,,false,false,false
108986,ACCESSORY,,,,,,,,,,,,,,,,,false,false,false
124168,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
123348,SPEAKER,,,,,,,,,,,,,,,,,false,false,false
113580,CABLE,,,,,,,,,,,,,,,,,false,false,false
110520,ACCESSORY,,,,,,,,,,,,,,,,,false,false,false
126012,CABLE,,,,,,,,,,,,,,,,,false,false,false
106100,COOLER_CPU_AIO,LGA1151v2,B360,DDR4,,,,,,,,,,,,M-ATX,M.2,false,false,false
99456,GPU,,,,,120,230,,,,4,GTX960,4,,,,,false,false,false
99601,GPU,,,,,,,,,,,GTX 1060,,,,,,false,false,false
100232,GPU,,,,,,,,,,4,GTX1050,4,,,,,false,false,false
100354,GPU,,,,,120,260,,,,6,GTX1060,6,,,,,false,false,false
99637,GPU,,,,,,,,,,8,GTX1070,8,,,,,false,false,false
99649,GPU,,,,,,,,,,8,GTX1080,8,,,,,false,false,false
99659,GPU,,,,,,,,,,1,GTX750,1,,,,,false,false,false
99660,GPU,,,,,,,,,,2,GTX750,2,,,,,false,false,false
100437,UNKNOWN,LGA1200,,,,,,,,,,,,,,,,false,true,false
108386,COOLER_CPU_AIO,LGA1200,,,,,,,,,,,,,,,,false,false,false
101861,CASE,,,,,,,,,,,,,,,ATX,,false,false,false
101860,CASE,,,,,,,370,,170,,,,,,ATX,,false,false,false
101854,CASE,,,,,,,,,,,,,,,ATX,,false,true,false
