product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
94146,peripheral,SPEAKER,0.88,원본 카테고리와 상품명 분류 충돌: CASE,대기
98436,core_part,SSD,0.96,AI 추천 후보 필수 product_specs 누락: interface,대기
118338,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: SSD / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
66055,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: CASE / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
107146,core_part,POWER,0.95,AI 추천 후보 필수 product_specs 누락: rated_watt,대기
107333,core_part,POWER,0.95,AI 추천 후보 필수 product_specs 누락: rated_watt,대기
104105,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
106411,unknown,UNKNOWN,0,normalized_part_type = UNKNOWN / confidence < 0.85,대기
104106,core_part,POWER,0.95,AI 추천 후보 필수 product_specs 누락: rated_watt,대기
107725,core_part,POWER,0.95,AI 추천 후보 필수 product_specs 누락: rated_watt,대기
103758,core_part,CASE,0.88,"원본 카테고리와 상품명 분류 충돌: COOLER_CPU_AIO / AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
103754,core_part,COOLER_CPU_AIO,0.94,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
103753,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
103752,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
101246,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
103726,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102560,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102561,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102559,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102558,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102565,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
93782,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
90288,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
88903,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
96151,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
84974,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
67168,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
96419,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
85564,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
85563,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
86280,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
84991,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
96147,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
103329,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102545,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102544,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
105843,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
104235,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
104236,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
107891,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
107888,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
107789,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
102543,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
