자체상품코드,통합상품코드,장부상품코드,장부상품명,대표상품코드,물류위치,모델명,상품명,제조사,카테고리1,카테고리2,카테고리3,카테고리4,상태값,매입가,발주가,공급처,시중가,일반회원,딜러Lv1,딜러Lv2,딜러Lv3,지도가현,지도가카,다나와No,에누리No,스펙,직발송 택배비,택배비,무료여부,인증코드번호 1,인증코드번호 2
123056,519312,,,,,,GIGABYTE B850M DS3H 피씨디렉트,GIGABYTE,컴퓨터주변기기,메인보드(M/B),라이젠5세대(A620/B650/b850/X670/X870),,판매중,166000,,메이커스잼 주식회사,0,170300,166040,166040,166040,179000,179000,73892084,,"GIGABYTE / AMD / AM5 / B850 (AMD) / m-ATX / DDR5 / 8,200(MHz),PC5-65600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 2(EA) / SATA3 : 4(EA) / HDMI / DP / PCI-Ex. x16 : 1(EA) / PCIex16(at x1) : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / Type-C (10Gbps) : 1(EA) / Type-A (10Gbps) : 1(EA) / Type-A (5Gbps) : 2(EA) / USB A타입 : 7(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 7.1(Ch) / ",0,"4,000",,R-R-GBN-B85MS3H,R-R-GBN-B85MS3H
127666,529902,,,,,,GIGABYTE B850M FORCE 제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),라이젠5세대(A620/B650/b850/X670/X870),,판매중,159000,,(주)제삼세대,0,163200,159120,159120,159120,169000,169000,95280263,,"GIGABYTE / AMD / AM5 / B650 (AMD) / m-ATX / DDR5 / 9,600(MHz),PC5-76800 / 슬롯 : 2(EA) / 최대 128(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / SATA / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.0 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / Type-C (10Gbps) / 1(EA) / Type-A (10Gbps) / Type-A (5Gbps) : 2(EA) / USB A타입 : 5(EA) / USB C타입 : 1(EA) / USB 2.0 : 2(EA) / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 7.1(Ch) / LED 헤더 : RGB 4핀 / ",0,"3,000",,R-R-GBN-B85MF,R-R-GBN-B85MF
127355,529903,,,,,,GIGABYTE B850M FORCE 피씨디렉트,GIGABYTE,컴퓨터주변기기,메인보드(M/B),라이젠5세대(A620/B650/b850/X670/X870),,판매중,158000,,주식회사 휘현,0,162200,162040,162040,162040,169000,169000,95200499,,"GIGABYTE / AMD / AM5 / B650 (AMD) / m-ATX / DDR5 / 9,600(MHz),PC5-76800 / 슬롯 : 2(EA) / 최대 128(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / SATA / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.0 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / Type-C (10Gbps) / Type-A (10Gbps) / Type-A (5Gbps) : 2(EA) / USB A타입 : 5(EA) / USB C타입 : 1(EA) / USB 2.0 : 2(EA) / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 7.1(Ch) / LED 헤더 : RGB 4핀 /",0,"3,000",,R-R-GBN-B85MF,R-R-GBN-B85MF
124892,520071,,,,,,GIGABYTE B860 AORUS ELITE WIFI7 ICE 제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,280000,,(주)제삼세대,0,285900,278750,278750,278750,299000,299000,74250827,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 / ",0,"4,000",,R-R-GBN-B86EL7,R-R-GBN-B86EL7
124905,519785,,,,,,GIGABYTE B860 AORUS ELITE WIFI7 ICE 피씨디렉트,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,280000,,(주)클릭나라,0,285900,278750,278750,278750,299000,299000,74255381,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 / ",0,"4,000",,R-R-GBN-B86EL7,R-R-GBN-B86EL7
124890,520069,,,,,,GIGABYTE B860M AORUS ELITE WIFI6E ICE 제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,253000,,(주)제삼세대,0,258400,251940,251940,251940,270000,270000,74250974,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 /",0,"4,000",,R-R-GBN-B86MAE6,R-R-GBN-B86MAE6
123844,519783,,,,,,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트/제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,251000,,(주)클릭나라,0,257700,251260,251260,251260,269000,269000,74255387,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 /",0,"4,000",,R-R-GBN-B86MAE6,R-R-GBN-B86MAE6
124891,520070,,,,,,GIGABYTE B860M AORUS ELITE WIFI6E 제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,253000,,(주)제삼세대,0,259700,253210,253210,253210,270000,270000,74251187,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 / ",0,"4,000",,R-R-GBN-B86MAE6,R-R-GBN-B86MAE6
123846,519787,,,,,,GIGABYTE B860M AORUS ELITE WIFI6E 피씨디렉트/제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,251000,,(주)클릭나라,0,257700,251260,251260,251260,269000,269000,74255390,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 /",0,"4,000",,R-R-GBN-B86MAE6,R-R-GBN-B86MAE6
124893,520072,,,,,,GIGABYTE B860M AORUS ELITE 제이씨현,GIGABYTE,컴퓨터주변기기,메인보드(M/B),인텔15세대(애로우레이크),,판매중,222000,,(주)가넷씨앤아이,0,227800,222110,222110,222110,237000,237000,74251253,,"GIGABYTE / 인텔 / LGA1851 / B860 (인텔) / m-ATX / DDR5 / 9,200(MHz),PC5-73600 / 슬롯 : 4(EA) / 최대 256(GB) / M.2 : 3(EA) / SATA3 : 4(EA) / PCIe5.0 / PCIe4.0 / NVMe / HDMI / DP / USB Type-C / PCI-Ex. x16 : 1(EA) / PCIex16(at x4) : 1(EA) / USB 3.0 헤더 : 1(EA) / USB3.1 Type C 헤더 : 1(EA) / USB 2.0 헤더 : 2(EA) / 썬더볼트 헤더 / Type-A (10Gbps) : 2(EA) / Type-A (5Gbps) : 4(EA) / USB A타입 : 10(EA) / USB C타입 : 1(EA) / USB 2.0 : 4(EA) / 블루투스 / RJ-45(LAN) 포트 : 1(EA) / 2.5기가비트 / 무선LAN / 7.1(Ch) / SPDIF / LED 헤더 /",0,"4,000",,R-R-GBN-B86MEL,R-R-GBN-B86MEL
